x,y,z,timestamp
-1.6256629,5.0278234,9.689334,4514
-1.5801731,4.987122,9.840169,9488
-1.4293385,4.9583917,9.871294,14493
-1.3383588,4.96318,9.878476,19498
-1.2042835,4.9823337,9.885659,24503
-1.0582372,4.9823337,9.77792,29508
-0.8762778,5.00867,9.636662,34512
-0.80924016,5.0134583,9.514558,39487
-0.78769237,4.960786,9.334992,44492
-0.8403648,4.9464207,9.11712,49497
-0.91697925,4.9416323,8.944737,54502
-1.0630256,4.9440265,8.647857,59506
-1.2497733,4.9775453,8.415619,64511
-1.4101849,4.9895163,8.159439,69486
-1.520318,5.0302176,7.9511437,74491
-1.6256629,5.094861,7.872135,79495
-1.7597382,5.1475334,8.094796,84500
-1.6903064,5.2002063,8.276755,89505
-1.5705963,5.245696,8.322245,94510
-1.4748282,5.231331,8.319851,99515
-1.3838485,5.2121773,8.334216,104489
-1.1827357,5.197812,8.207323,109494
-1.3814543,5.2528787,8.312668,114499
-1.6136919,5.327099,8.322245,119504
-1.7645266,5.434838,8.327033,124509
-1.9009962,5.509058,8.3629465,129514
-2.0829554,5.518635,8.465898,134488
-2.1045034,5.485116,8.676587,139493
-2.006341,5.437232,8.710106,144498
-1.8770541,5.3965306,8.62152,149503
-1.8076223,5.365406,8.4347725,154508
-1.7381904,5.3462524,8.1881695,159512
-1.6591818,5.422867,7.8649526,164487
-1.6663644,5.533,7.560889,169492
-1.7645266,5.6215854,7.28795,174497
-1.8866309,5.717354,7.005434,179501
-1.9632454,5.8203044,6.691794,184506
-1.9728222,5.851429,6.4404025,189511
-1.9847932,5.899313,6.227319,194486
-2.0207062,5.9519854,6.0740895,199491
-1.9991584,5.9878983,5.920861,204495
-2.0446482,6.0381765,5.6431336,209500
-2.1140802,6.093243,5.482722,214505
-2.2170308,6.1219735,5.351041,219510
-2.3535004,6.136339,5.341464,224515
-2.566584,6.1387334,5.4061074,229489
-2.8562827,6.155493,5.499481,234494
-3.0262709,6.14831,5.614403,239499
-3.0334535,6.0764837,4.924873,244504
-3.442862,6.2464724,4.2281604,249509
-3.6343982,6.361394,4.9775453,254514
-3.620033,6.3111157,5.719748,259488
-3.550601,6.3302693,6.021417,264493
-2.669535,6.5122285,6.3709707,269498
-2.992752,6.517017,6.3230867,274503
-3.064578,6.411672,6.0501475,279508
-3.2465374,6.301539,6.4499793,284512
-2.552219,6.3063273,6.789956,289487
-2.1260512,6.3925185,6.670246,294492
-2.2122424,6.4858923,6.399701,299497
-2.4732103,6.5002575,6.2345014,304501
-2.5737667,6.385336,5.872977,309506
-2.6527755,6.1746464,5.592855,314511
-2.837129,6.136339,5.523423,319486
-3.0310593,6.145916,5.48751,324491
-3.1483753,6.1938,5.499481,329495
-3.2034419,6.227319,5.583278,334500
-3.1747115,6.203377,5.7484784,339505
