subject,sessionIndex,rep,letter,f1,f2,f3,f4,f5,f6
Bohdan,1,1,period,0.187,0.204,0.0847,0.122,0.117,0.1037
Bohdan,1,1,t,0.0847,0.122,0.117,0.1037,0.0837,0.4036
Bohdan,1,1,i,0.117,0.1037,0.0837,0.4036,0.0728,0.4342
Bohdan,1,1,e,0.0837,0.4036,0.0728,0.4342,0.0648,0.5333
Bohdan,1,1,five,0.0728,0.4342,0.0648,0.5333,0.0828,0.1242
Bohdan,1,1,Shift.r,0.0648,0.5333,0.0828,0.1242,0.1142,0.1621
Bohdan,1,1,o,0.0828,0.1242,0.1142,0.1621,0.0658,0.3081
Bohdan,1,1,a,0.1142,0.1621,0.0658,0.3081,0.0686,0.4096
Bohdan,1,2,period,0.0921,0.3033,0.1131,0.2098,0.0749,0.1133
Bohdan,1,2,t,0.1131,0.2098,0.0749,0.1133,0.0944,0.3136
Bohdan,1,2,i,0.0749,0.1133,0.0944,0.3136,0.0711,0.1356
Bohdan,1,2,e,0.0944,0.3136,0.0711,0.1356,0.0349,0.2029
Bohdan,1,2,five,0.0711,0.1356,0.0349,0.2029,0.0668,0.2251
Bohdan,1,2,Shift.r,0.0349,0.2029,0.0668,0.2251,0.1252,0.1181
Bohdan,1,2,o,0.0668,0.2251,0.1252,0.1181,0.0799,0.2455
Bohdan,1,2,a,0.1252,0.1181,0.0799,0.2455,0.0715,0.4191
Bohdan,1,3,period,0.0578,0.3345,0.1372,0.0327,0.057,0.3083
Bohdan,1,3,t,0.1372,0.0327,0.057,0.3083,0.1136,0.512
Bohdan,1,3,i,0.057,0.3083,0.1136,0.512,0.071,0.3383
Bohdan,1,3,e,0.1136,0.512,0.071,0.3383,0.0718,0.3506
Bohdan,1,3,five,0.071,0.3383,0.0718,0.3506,0.0669,0.6115
Bohdan,1,3,Shift.r,0.0718,0.3506,0.0669,0.6115,0.1379,0.2307
Bohdan,1,3,o,0.0669,0.6115,0.1379,0.2307,0.0708,0.2372
