subject,sessionIndex,rep,letter,f1,f2
Bohdan,1,1,period,0.187,0.204
Bohdan,1,1,t,0.0847,0.122
Bohdan,1,1,i,0.117,0.1037
Bohdan,1,1,e,0.0837,0.4036
Bohdan,1,1,five,0.0728,0.4342
Bohdan,1,1,Shift.r,0.0648,0.5333
Bohdan,1,1,o,0.0828,0.1242
Bohdan,1,1,a,0.1142,0.1621
Bohdan,1,1,n,0.0658,0.3081
Bohdan,1,1,l,0.0686,0.4096
Bohdan,1,2,period,0.0921,0.3033
Bohdan,1,2,t,0.1131,0.2098
Bohdan,1,2,i,0.0749,0.1133
Bohdan,1,2,e,0.0944,0.3136
Bohdan,1,2,five,0.0711,0.1356
Bohdan,1,2,Shift.r,0.0349,0.2029
Bohdan,1,2,o,0.0668,0.2251
Bohdan,1,2,a,0.1252,0.1181
Bohdan,1,2,n,0.0799,0.2455
Bohdan,1,2,l,0.0715,0.4191
Bohdan,1,3,period,0.0578,0.3345
Bohdan,1,3,t,0.1372,0.0327
Bohdan,1,3,i,0.057,0.3083
Bohdan,1,3,e,0.1136,0.512
Bohdan,1,3,five,0.071,0.3383
Bohdan,1,3,Shift.r,0.0718,0.3506
Bohdan,1,3,o,0.0669,0.6115
Bohdan,1,3,a,0.1379,0.2307
Bohdan,1,3,n,0.0708,0.2372
Bohdan,1,3,l,0.0742,0.3152
Bohdan,1,4,period,0.1014,0.2121
Bohdan,1,4,t,0.0743,0.1345
Bohdan,1,4,i,0.134,0.2094
Bohdan,1,4,e,0.1087,0.2063
Bohdan,1,4,five,0.0665,0.3841
Bohdan,1,4,Shift.r,0.0832,0.4061
Bohdan,1,4,o,0.0668,0.2364
Bohdan,1,4,a,0.1121,0.0468
Bohdan,1,4,n,0.1176,0.1206
Bohdan,1,4,l,0.1166,0.3278
Bohdan,1,5,period,0.1134,0.2364
Bohdan,1,5,t,0.0718,0.2036
Bohdan,1,5,i,0.0717,0.1549
Bohdan,1,5,e,0.0765,0.4503
Bohdan,1,5,five,0.0729,0.2594
Bohdan,1,5,Shift.r,0.1216,0.6147
Bohdan,1,5,o,0.077,0.2114
Bohdan,1,5,a,0.087,0.2054
Bohdan,1,5,n,0.0528,0.5227
Bohdan,1,5,l,0.105,0.1627
Bohdan,1,6,period,0.099,0.3095
Bohdan,1,6,t,0.0915,0.1083
Bohdan,1,6,i,0.0825,0.1261
Bohdan,1,6,e,0.075,0.251
Bohdan,1,6,five,0.1087,0.234
Bohdan,1,6,Shift.r,0.0663,0.4095
Bohdan,1,6,o,0.0499,0.2647
Bohdan,1,6,a,0.0939,0.1701
Bohdan,1,6,n,0.0807,0.207
Bohdan,1,6,l,0.0528,0.2204
Bohdan,1,7,period,0.0759,0.2425
Bohdan,1,7,t,0.0792,0.1109
Bohdan,1,7,i,0.0568,0.212
Bohdan,1,7,e,0.0686,0.3062
Bohdan,1,7,five,0.0695,0.3513
Bohdan,1,7,Shift.r,0.0735,0.3123
Bohdan,1,7,o,0.0668,0.1046
Bohdan,1,7,a,0.1117,0.1121
Bohdan,1,7,n,0.1305,0.1221
Bohdan,1,7,l,0.0729,0.3204
Bohdan,1,8,period,0.1376,0.2254
Bohdan,1,8,t,0.1444,0.1116
Bohdan,1,8,i,0.0792,0.1465
Bohdan,1,8,e,0.1376,0.3036
Bohdan,1,8,five,0.054,0.3458
Bohdan,1,8,Shift.r,0.1484,0.4144
Bohdan,1,8,o,0.0877,0.2029
Bohdan,1,8,a,0.1425,0.1206
Bohdan,1,8,n,0.0943,0.2238
Bohdan,1,8,l,0.0779,0.219
Bohdan,1,9,period,0.1134,0.2049
Bohdan,1,9,t,0.0827,0.1076
Bohdan,1,9,i,0.0508,0.203
Bohdan,1,9,e,0.1566,0.2102
Bohdan,1,9,five,0.0581,0.2812
Bohdan,1,9,Shift.r,0.0942,0.4286
Bohdan,1,9,o,0.0546,0.215
Bohdan,1,9,a,0.113,0.1194
Bohdan,1,9,n,0.0762,0.2196
Bohdan,1,9,l,0.0901,0.3044
Bohdan,1,10,period,0.1058,0.3319
Bohdan,1,10,t,0.0711,0.1085
Bohdan,1,10,i,0.0803,0.1429
Bohdan,1,10,e,0.0741,0.3049
Bohdan,1,10,five,0.1237,0.2353
Bohdan,1,10,Shift.r,0.1022,0.4104
Bohdan,1,10,o,0.0779,0.1065
Bohdan,1,10,a,0.1309,0.1226
Bohdan,1,10,n,0.1322,0.1421
Bohdan,1,10,l,0.0574,0.3211
Bohdan,1,11,period,0.0733,0.2055
Bohdan,1,11,t,0.1097,0.1093
Bohdan,1,11,i,0.0745,0.1181
Bohdan,1,11,e,0.1381,0.2256
Bohdan,1,11,five,0.059,0.3117
Bohdan,1,11,Shift.r,0.0717,0.5126
Bohdan,1,11,o,0.0582,0.1384
Bohdan,1,11,a,0.1039,0.1243
Bohdan,1,11,n,0.0601,0.2232
Bohdan,1,11,l,0.0835,0.1127
Bohdan,1,12,period,0.0901,0.2067
Bohdan,1,12,t,0.116,0.0367
Bohdan,1,12,i,0.0797,0.2151
Bohdan,1,12,e,0.0527,0.2072
Bohdan,1,12,five,0.0709,0.516
Bohdan,1,12,Shift.r,0.0769,0.5027
Bohdan,1,12,o,0.0765,0.1417
Bohdan,1,12,a,0.1028,0.2074
Bohdan,1,12,n,0.0528,0.2393
Bohdan,1,12,l,0.0599,0.3214
Bohdan,1,13,period,0.0889,0.2094
Bohdan,1,13,t,0.0698,0.1486
Bohdan,1,13,i,0.1156,0.2262
Bohdan,1,13,e,0.0702,0.309
Bohdan,1,13,five,0.0548,0.235
Bohdan,1,13,Shift.r,0.0658,0.5128
Bohdan,1,13,o,0.055,0.2173
Bohdan,1,13,a,0.1498,0.0365
Bohdan,1,13,n,0.0652,0.3549
Bohdan,1,13,l,0.0721,0.1415
Bohdan,1,14,period,0.1143,0.1084
Bohdan,1,14,t,0.1377,0.1206
Bohdan,1,14,i,0.0574,0.1385
Bohdan,1,14,e,0.1389,0.2034
Bohdan,1,14,five,0.0528,0.3405
Bohdan,1,14,Shift.r,0.054,0.7091
Bohdan,1,14,o,0.1137,0.2091
Bohdan,1,14,a,0.0918,0.1686
Bohdan,1,14,n,0.0578,0.5209
Bohdan,1,14,l,0.0817,0.2084
Bohdan,1,15,period,0.118,0.1185
Bohdan,1,15,t,0.1344,0.1047
Bohdan,1,15,i,0.0584,0.1086
Bohdan,1,15,e,0.0894,0.349
Bohdan,1,15,five,0.1162,0.2761
Bohdan,1,15,Shift.r,0.062,0.5107
Bohdan,1,15,o,0.0757,0.1376
Bohdan,1,15,a,0.1261,0.1118
Bohdan,1,15,n,0.0942,0.2201
Bohdan,1,15,l,0.0662,0.2216
Bohdan,2,16,period,0.115,0.2423
Bohdan,2,16,t,0.0965,0.2037
Bohdan,2,16,i,0.0839,0.2162
Bohdan,2,16,e,0.1157,0.2324
Bohdan,2,16,five,0.0712,0.2988
Bohdan,2,16,Shift.r,0.0761,0.3284
Bohdan,2,16,o,0.0698,0.3131
Bohdan,2,16,a,0.0947,0.1289
Bohdan,2,16,n,0.0849,0.2522
Bohdan,2,16,l,0.0791,0.4076
Bohdan,2,17,period,0.0833,0.41
Bohdan,2,17,t,0.0562,0.219
Bohdan,2,17,i,0.0609,0.2029
Bohdan,2,17,e,0.0668,0.7125
Bohdan,2,17,five,0.0549,0.3077
Bohdan,2,17,Shift.r,0.1146,0.4103
Bohdan,2,17,o,0.0771,0.2177
Bohdan,2,17,a,0.1055,0.1652
Bohdan,2,17,n,0.0618,0.206
Bohdan,2,17,l,0.0561,0.4252
Bohdan,2,18,period,0.0828,0.2112
Bohdan,2,18,t,0.0788,0.217
Bohdan,2,18,i,0.0763,0.24
Bohdan,2,18,e,0.0703,0.3322
Bohdan,2,18,five,0.0584,0.3944
Bohdan,2,18,Shift.r,0.0785,0.5114
Bohdan,2,18,o,0.0799,0.2091
Bohdan,2,18,a,0.0942,0.147
Bohdan,2,18,n,0.0568,0.2211
Bohdan,2,18,l,0.0548,0.4768
Bohdan,2,19,period,0.0991,0.2128
Bohdan,2,19,t,0.0731,0.1032
Bohdan,2,19,i,0.0668,0.3237
Bohdan,2,19,e,0.0708,0.2383
Bohdan,2,19,five,0.0702,0.2693
Bohdan,2,19,Shift.r,0.082,0.3185
Bohdan,2,19,o,0.0555,0.3475
Bohdan,2,19,a,0.1604,0.0119
Bohdan,2,19,n,0.0743,0.2259
Bohdan,2,19,l,0.085,0.2075
Bohdan,2,20,period,0.1196,0.1036
Bohdan,2,20,t,0.1018,0.1621
Bohdan,2,20,i,0.0707,0.2084
Bohdan,2,20,e,0.0863,0.2189
Bohdan,2,20,five,0.0722,0.2592
Bohdan,2,20,Shift.r,0.0658,0.3248
Bohdan,2,20,o,0.0781,0.1156
Bohdan,2,20,a,0.1578,0.0372
Bohdan,2,20,n,0.0741,0.2253
Bohdan,2,20,l,0.1054,0.2068
Bohdan,2,21,period,0.0905,0.108
Bohdan,2,21,t,0.1097,0.1237
Bohdan,2,21,i,0.0887,0.1519
Bohdan,2,21,e,0.1481,0.113
Bohdan,2,21,five,0.0692,0.2379
Bohdan,2,21,Shift.r,0.0704,0.2399
Bohdan,2,21,o,0.152,0.0458
Bohdan,2,21,a,0.1446,0.1536
Bohdan,2,21,n,0.081,0.2392
Bohdan,2,21,l,0.0668,0.3465
Bohdan,2,22,period,0.1097,0.3094
Bohdan,2,22,t,0.1489,0.2113
Bohdan,2,22,i,0.0661,0.212
Bohdan,2,22,e,0.1108,0.7143
Bohdan,2,22,five,0.076,0.2513
Bohdan,2,22,Shift.r,0.0696,0.4123
Bohdan,2,22,o,0.0772,0.1465
Bohdan,2,22,a,0.0841,0.2225
Bohdan,2,22,n,0.0862,0.2232
Bohdan,2,22,l,0.0931,0.1204
Bohdan,2,23,period,0.0548,0.2299
Bohdan,2,23,t,0.1367,0.11
Bohdan,2,23,i,0.0852,0.2038
Bohdan,2,23,e,0.0683,0.2158
Bohdan,2,23,five,0.0558,0.2429
Bohdan,2,23,Shift.r,0.0712,0.248
Bohdan,2,23,o,0.056,0.1425
Bohdan,2,23,a,0.121,0.2221
Bohdan,2,23,n,0.074,0.1514
Bohdan,2,23,l,0.0769,0.1242
Bohdan,2,24,period,0.1005,0.1534
Bohdan,2,24,t,0.0732,0.2046
Bohdan,2,24,i,0.0518,0.1515
Bohdan,2,24,e,0.0795,0.2137
Bohdan,2,24,five,0.083,0.1918
Bohdan,2,24,Shift.r,0.0662,0.4261
Bohdan,2,24,o,0.1227,0.1416
Bohdan,2,24,a,0.1552,0.0374
Bohdan,2,24,n,0.0643,0.2254
Bohdan,2,24,l,0.0779,0.2089
Bohdan,2,25,period,0.0857,0.1343
Bohdan,2,25,t,0.0812,0.1092
Bohdan,2,25,i,0.0608,0.3285
Bohdan,2,25,e,0.0925,0.2336
Bohdan,2,25,five,0.1179,0.1514
Bohdan,2,25,Shift.r,0.0885,0.2397
Bohdan,2,25,o,0.0745,0.1097
Bohdan,2,25,a,0.0793,0.2065
Bohdan,2,25,n,0.0559,0.2219
Bohdan,2,25,l,0.0968,0.1687
Bohdan,2,26,period,0.105,0.2039
Bohdan,2,26,t,0.1286,0.1239
Bohdan,2,26,i,0.0621,0.1332
Bohdan,2,26,e,0.0718,0.2317
Bohdan,2,26,five,0.0551,0.2569
Bohdan,2,26,Shift.r,0.0516,0.3414
Bohdan,2,26,o,0.0545,0.1371
Bohdan,2,26,a,0.1556,0.0697
Bohdan,2,26,n,0.0607,0.354
Bohdan,2,26,l,0.0538,0.1527
Bohdan,2,27,period,0.1172,0.1174
Bohdan,2,27,t,0.1485,0.1097
Bohdan,2,27,i,0.1033,0.2541
Bohdan,2,27,e,0.0707,0.3051
Bohdan,2,27,five,0.0349,0.3382
Bohdan,2,27,Shift.r,0.0589,0.3463
Bohdan,2,27,o,0.0571,0.1236
Bohdan,2,27,a,0.1358,0.1346
Bohdan,2,27,n,0.0547,0.223
Bohdan,2,27,l,0.0959,0.1506
Bohdan,2,28,period,0.0914,0.2095
Bohdan,2,28,t,0.0881,0.2084
Bohdan,2,28,i,0.061,0.1077
Bohdan,2,28,e,0.1087,0.2103
Bohdan,2,28,five,0.0852,0.1697
Bohdan,2,28,Shift.r,0.071,0.3597
