subject,sessionIndex,rep,letter,f1,f2,f3,f4,f5,f6
v.mal,1,9,period,94.0,78.0,78.0,63.0,78.0,63.0
v.mal,1,9,t,78.0,63.0,78.0,63.0,78.0,78.0
v.mal,1,9,i,78.0,63.0,78.0,78.0,62.0,125.0
v.mal,1,9,e,78.0,78.0,62.0,125.0,203.0,32.0
v.mal,1,9,five,62.0,125.0,203.0,32.0,78.0,156.0
v.mal,1,9,Shift.r,203.0,32.0,78.0,156.0,94.0,15.0
v.mal,1,9,o,78.0,156.0,94.0,15.0,141.0,-47.0
v.mal,1,9,a,94.0,15.0,141.0,-47.0,94.0,141.0
v.mal,1,10,period,94.0,141.0,94.0,93.0,63.0,62.0
v.mal,1,10,t,94.0,93.0,63.0,62.0,110.0,62.0
v.mal,1,10,i,63.0,62.0,110.0,62.0,78.0,125.0
v.mal,1,10,e,110.0,62.0,78.0,125.0,250.0,47.0
v.mal,1,10,five,78.0,125.0,250.0,47.0,78.0,172.0
v.mal,1,10,Shift.r,250.0,47.0,78.0,172.0,63.0,78.0
v.mal,1,10,o,78.0,172.0,63.0,78.0,140.0,-62.0
v.mal,1,10,a,63.0,78.0,140.0,-62.0,109.0,141.0
v.mal,1,11,period,94.0,47.0,78.0,94.0,78.0,47.0
v.mal,1,11,t,78.0,94.0,78.0,47.0,78.0,78.0
v.mal,1,11,i,78.0,47.0,78.0,78.0,78.0,125.0
v.mal,1,11,e,78.0,78.0,78.0,125.0,234.0,78.0
v.mal,1,11,five,78.0,125.0,234.0,78.0,63.0,141.0
v.mal,1,11,Shift.r,234.0,78.0,63.0,141.0,78.0,47.0
v.mal,1,11,o,63.0,141.0,78.0,47.0,156.0,-78.0
v.mal,1,11,a,78.0,47.0,156.0,-78.0,109.0,156.0
v.mal,1,12,period,79.0,125.0,78.0,93.0,79.0,406.0
v.mal,1,12,t,78.0,93.0,79.0,406.0,78.0,125.0
v.mal,1,12,i,79.0,406.0,78.0,125.0,62.0,141.0
v.mal,1,12,e,78.0,125.0,62.0,141.0,266.0,172.0
v.mal,1,12,five,62.0,141.0,266.0,172.0,62.0,109.0
v.mal,1,12,Shift.r,266.0,172.0,62.0,109.0,94.0,47.0
v.mal,1,12,o,62.0,109.0,94.0,47.0,156.0,-78.0
v.mal,1,12,a,94.0,47.0,156.0,-78.0,110.0,140.0
v.mal,1,13,period,78.0,125.0,78.0,78.0,79.0,46.0
v.mal,1,13,t,78.0,78.0,79.0,46.0,110.0,15.0
v.mal,1,13,i,79.0,46.0,110.0,15.0,79.0,125.0
v.mal,1,13,e,110.0,15.0,79.0,125.0,234.0,125.0
v.mal,1,13,five,79.0,125.0,234.0,125.0,78.0,94.0
v.mal,1,13,Shift.r,234.0,125.0,78.0,94.0,78.0,78.0
v.mal,1,13,o,78.0,94.0,78.0,78.0,141.0,-63.0
v.mal,1,13,a,78.0,78.0,141.0,-63.0,94.0,203.0
v.mal,1,14,period,78.0,78.0,94.0,78.0,63.0,31.0
v.mal,1,14,t,94.0,78.0,63.0,31.0,78.0,78.0
v.mal,1,14,i,63.0,31.0,78.0,78.0,63.0,125.0
