Key.shift,0.302,Key.ctrl,0.024,6.267,'.',0.083,5.779,'t',0.09,0.176,'i',0.093,0.181,'e',0.094,0.588,'5',0.088,3.063,0.196,'R',0.084,Key.shift,0.064,0.755,'o',0.079,0.856,'a',0.094,0.528,'n',0.084,0.154,'l',0.083,0.571,Key.enter,0.072,FAIL
1,7.683,'.',0.083,1.794,'t',0.098,0.298,'i',0.09,0.396,'e',0.094,1.038,'5',0.083,0.72,0.182,'R',0.079,Key.shift,0.041,0.366,'o',0.084,0.436,'a',0.074,0.287,'n',0.101,0.11,'l',0.089,0.468,Key.enter,0.081,SUCCESS
2,2.906,'.',0.063,0.708,'t',0.09,0.139,'i',0.088,0.399,'e',0.094,0.543,'5',0.078,0.465,0.207,'R',0.078,Key.shift,0.034,0.381,'o',0.088,0.396,'a',0.084,0.13,'n',0.076,0.148,'l',0.1,0.613,Key.enter,0.074,SUCCESS
3,1.466,'.',0.073,0.425,'t',0.088,0.096,'i',0.078,0.232,'e',0.077,0.588,'5',0.078,0.365,0.17,'R',0.098,Key.shift,0.059,0.259,'o',0.093,0.212,'a',0.085,0.176,'n',0.067,0.201,'l',0.085,0.354,Key.enter,0.089,SUCCESS
4,1.963,'.',0.078,1.31,'t',0.083,0.391,'i',0.079,0.232,'e',0.074,0.17,'5',0.09,0.402,0.204,'R',0.08,Key.shift,0.032,0.314,'o',0.088,0.299,'a',0.094,0.202,'n',0.089,0.175,'l',0.084,0.322,Key.enter,0.098,SUCCESS
5,1.625,'.',0.09,0.387,'t',0.079,0.211,'i',0.09,0.162,'e',0.084,0.196,'5',0.085,0.257,0.229,'R',0.089,Key.shift,0.016,0.301,'o',0.098,0.276,'a',0.089,0.213,'n',0.093,0.197,'l',0.094,0.542,Key.enter,0.08,SUCCESS
6,1.44,'.',0.081,1.001,'t',0.087,0.211,'i',0.088,0.148,'e',0.084,0.202,'5',0.084,0.289,0.201,Key.shift,0.064,'r',0.016,0.332,'o',0.095,0.199,'a',0.089,0.15,'n',0.093,0.15,'l',0.1,0.61,Key.enter,0.097,FAIL
6,2.053,'.',0.088,0.432,'t',0.082,0.186,'i',0.077,0.137,'e',0.089,0.261,'5',0.089,0.434,0.334,'R',0.099,Key.shift,0.054,0.343,'o',0.09,0.267,'a',0.094,0.147,'n',0.079,0.187,'l',0.099,0.352,Key.enter,0.09,SUCCESS
7,1.206,'.',0.07,0.339,'t',0.071,0.141,'i',0.09,0.169,'e',0.078,0.248,'5',0.085,0.707,0.351,'R',0.143,Key.shift,0.019,0.362,'o',0.089,0.211,'a',0.09,0.144,'n',0.083,0.325,'l',0.083,0.578,Key.enter,0.111,SUCCESS
8,1.27,'.',0.076,0.269,'t',0.08,0.16,'i',0.09,0.16,'e',0.066,0.289,'5',0.08,0.473,0.349,'R',0.098,Key.shift,0.023,0.324,'o',0.092,0.165,'a',0.095,0.147,'n',0.088,0.141,'l',0.106,0.272,Key.enter,0.094,SUCCESS
9,0.819,'.',0.079,0.723,'t',0.074,0.164,'i',0.094,0.13,'e',0.079,0.226,'5',0.08,0.393,0.365,Key.shift,0.135,'r',0.008,0.333,'o',0.088,0.169,'a',0.089,0.191,'n',0.09,0.145,'l',0.091,0.387,Key.enter,0.09,FAIL
9,1.76,'.',0.092,0.348,'t',0.084,0.119,'i',0.085,0.182,'e',0.07,0.309,'5',0.089,0.49,0.327,'R',0.108,Key.shift,0.055,0.282,'o',0.093,0.222,'a',0.098,0.116,'n',0.086,0.138,'l',0.089,0.271,Key.enter,0.095,SUCCESS
10,1.509,'.',0.075,0.244,'t',0.082,0.133,'i',0.098,0.151,'e',0.083,0.307,'5',0.091,0.501,0.394,'R',0.102,Key.shift,0.024,0.362,'o',0.088,0.232,'a',0.099,0.166,'n',0.102,0.127,'l',0.101,0.337,Key.enter,0.089,SUCCESS
11,1.34,'.',0.078,0.334,'t',0.07,0.15,'i',0.079,0.18,'e',0.083,0.25,'5',0.079,0.84,0.289,'R',0.142,Key.shift,0.027,0.579,'o',0.076,0.941,'a',0.09,0.424,'n',0.083,0.151,'l',0.09,0.325,Key.enter,0.088,SUCCESS
12,1.374,'.',0.074,0.242,'t',0.062,0.116,'i',0.081,0.15,'e',0.074,0.326,'5',0.086,0.858,0.377,'R',0.132,Key.shift,0.035,1.934,'o',0.079,0.346,'a',0.08,0.179,'n',0.089,0.112,'l',0.089,0.982,Key.enter,0.084,SUCCESS
13,1.353,'.',0.078,0.311,'t',0.089,0.118,'i',0.089,0.16,'e',0.079,0.229,'5',0.093,0.545,0.265,'R',0.145,Key.shift,0.013,0.312,'o',0.089,0.237,'a',0.092,0.147,'n',0.093,0.145,'l',0.102,0.277,Key.enter,0.1,SUCCESS
14,0.943,'.',0.094,0.585,'t',0.074,0.202,'i',0.097,0.122,'e',0.078,0.171,'5',0.089,0.343,0.279,'R',0.089,Key.shift,0.022,0.29,'o',0.09,0.2,'a',0.089,0.136,'n',0.055,0.157,'l',0.072,0.265,Key.enter,0.08,SUCCESS
15,1.184,'.',0.075,0.272,'t',0.072,0.149,'i',0.089,0.162,'e',0.074,0.162,'5',0.089,0.339,0.279,'R',0.087,Key.shift,0.04,0.271,'o',0.089,0.191,'a',0.086,0.127,'n',0.087,0.117,'l',0.092,0.962,Key.enter,0.072,SUCCESS
16,1.4,END
