subject,sessionIndex,rep,H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
v.mal,1,13,0.078,0.125,0.078,0.078,0.079,0.046,0.11,0.015,0.079,0.125,0.234,0.125,0.078,0.094,0.078,0.078,0.141,-0.063,0.094,0.203,0.094
v.mal,1,14,0.078,0.078,0.094,0.078,0.063,0.031,0.078,0.078,0.063,0.125,0.203,0.062,0.078,0.141,0.094,0.093,0.172,-0.093,0.125,0.218,0.094
v.mal,1,15,0.094,0.094,0.078,0.078,0.063,0.047,0.093,0.063,0.078,0.125,0.219,0.078,0.094,0.14,0.078,0.11,0.187,-0.078,0.109,0.157,0.078
v.mal,2,1,0.094,0.078,0.078,0.109,0.094,0.062,0.079,0.125,0.062,0.156,0.235,0.093,0.079,0.109,0.078,0.109,0.188,-0.078,0.094,0.171,0.11
v.mal,2,2,0.094,0.063,0.078,0.109,0.094,0.078,0.078,0.094,0.062,0.282,0.25,0.062,0.094,0.094,0.109,0.016,0.172,-0.063,0.078,0.203,0.094
v.mal,2,3,0.093,0.047,0.094,0.109,0.078,0.032,0.093,0.079,0.062,0.125,0.266,0.14,0.094,0.125,0.078,0.094,0.156,-0.062,0.109,0.172,0.109
v.mal,2,4,0.078,0.079,0.109,0.109,0.094,0.016,0.078,0.094,0.093,0.11,0.281,0.078,0.078,0.125,0.094,0.062,0.172,-0.047,0.063,0.203,0.094
v.mal,2,5,0.078,0.063,0.062,0.141,0.078,0.016,0.109,0.062,0.063,0.141,0.25,0.093,0.11,0.078,0.094,0.078,0.203,-0.094,0.109,0.141,0.109
v.mal,2,6,0.079,0.14,0.078,0.078,0.063,0.062,0.11,0.047,0.078,0.156,0.234,0.11,0.094,0.093,0.094,0.078,0.172,-0.078,0.109,0.157,0.093
v.mal,2,7,0.078,0.125,0.078,0.078,0.078,0.063,0.109,0.016,0.062,0.157,0.234,0.078,0.078,0.125,0.11,0.046,0.188,-0.094,0.125,0.156,0.094
v.mal,2,8,0.094,0.031,0.094,0.094,0.062,0.079,0.187,0.031,0.078,0.25,0.219,0.141,0.094,0.156,0.094,0.062,0.172,-0.094,0.094,0.156,0.094
v.mal,2,9,0.109,0.156,0.079,0.125,0.062,0.047,0.094,0.047,0.078,0.125,0.25,0.093,0.079,0.093,0.094,0.078,0.156,-0.078,0.11,0.156,0.078
v.mal,2,10,0.079,0.14,0.063,0.078,0.062,0.094,0.141,0.078,0.078,0.141,0.25,0.109,0.094,0.109,0.094,0.078,0.172,-0.078,0.093,0.188,0.047
v.mal,2,11,0.078,0.125,0.062,0.078,0.063,0.094,0.125,0.015,0.063,0.14,0.266,0.078,0.078,0.094,0.109,0.047,0.172,-0.078,0.094,0.156,0.094
v.mal,2,12,0.078,0.141,0.078,0.125,0.062,0.094,0.094,0.078,0.062,0.094,0.266,0.078,0.078,0.141,0.078,0.078,0.156,-0.078,0.109,0.157,0.093
v.mal,2,13,0.094,0.078,0.062,0.094,0.063,0.078,0.125,0.031,0.063,0.109,0.25,0.031,0.094,0.125,0.109,0.078,0.125,-0.093,0.125,0.187,0.11
v.mal,2,14,0.078,0.109,0.094,0.047,0.078,0.094,0.125,0.078,0.062,0.141,0.265,0.079,0.078,0.14,0.094,0.063,0.25,-0.094,0.125,0.375,0.094
v.mal,2,15,0.078,0.125,0.078,0.109,0.078,0.063,0.125,0.016,0.062,0.125,0.234,0.032,0.078,0.14,0.094,0.063,0.218,-0.078,0.125,0.219,0.094
